Name,Severity,Description,Parameters
EVT\_DOWN\_ABORT,2,Generated by an LPT State Machine when a down-transfer is aborted,LPT State Machine Identifier
EVT\_UP\_ABORT,2,Generated by an LPT State Machine when an up-transfer is aborted,LPT State Machine Identifier
EVT\_MON\_LIM\_R,3,Generated when a Limit Check Monitoring Procedure has detected an invalid parameter value of real type,"Identifier of parameter monitor and of monitored data item, sub-status of parameter monitor and last value of data item"
EVT\_MON\_LIM\_I,3,Generated when a Limit Check Monitoring Procedure has detected an invalid parameter value of integer type,"Identifier of parameter monitor and of monitored data item, sub-status of parameter monitor and last value of data item"
EVT\_MON\_EXP,3,Generated when a Expected Value Monitoring Procedure has detected an invalid parameter value of integer type,"Identifier of parameter monitor and of monitored data item, sub-status of parameter monitor and last value of data item"
EVT\_MON\_DEL\_R,3,Generated when a Delta Check Monitoring Procedure has detected an invalid parameter value of real type,"Identifier of parameter monitor and of monitored data item, sub-status of parameter monitor and last value of data item"
EVT\_MON\_DEL\_I,3,Generated when a Delta Check Monitoring Procedure has detected an invalid parameter value of integer type,"Identifier of parameter monitor and of monitored data item, sub-status of parameter monitor and last value of data item"
EVT\_FMON\_FAIL,3,Generated when a functional monitor has declared a failure,Identifiers of parameter monitors associated to the functional monitors and of their checking status
EVT\_CLST\_FULL,2,Generated when the Monitoring Function Procedure tries to add an entry to the Check Transition List but the list is full,None
